	WER_MEAN	CORTEX_MEAN	pet111_MEAN	scr5_MEAN	wol_MEAN
244992_s_at	1.542024959	7.315529536	2.172518667	5.975689624	8.056900506
244993_s_at	2.50959576	3.746218603	1.964225036	3.295815253	5.649500341
244994_at	0.644504974	0.724008029	0.578716504	1.207091402	1.58152417
244995_at	0.428510919	0.417511581	0.524057221	0.584763322	0.906225957
244996_at	2.237704352	4.457385757	3.20194905	3.178910466	4.936131693
244997_at	0.711397188	1.053407462	0.766649603	1.170931744	1.758015391
244998_at	1.931709849	1.000343704	0.786600246	1.913774122	4.355167248
244999_at	0.572008797	0.534399378	0.541750434	1.043776219	1.712263841
245000_at	1.200964016	0.933288493	1.122853492	2.35110696	3.15053586
245001_at	6.911849701	5.984787215	3.193136771	5.799442674	5.76040532
245002_at	0.782496554	0.701066781	0.664302016	1.610033807	2.327955372
245003_at	0.791401614	2.581781	0.793883108	1.555476433	2.164463874
245004_at	1.720619167	8.61810444	1.406239032	2.645003065	3.338151426
245005_at	0.649152063	0.474095548	0.612020425	1.538882613	2.319037245
245006_at	1.313125758	22.14686844	3.481447313	6.091121612	6.194919438
245007_at	0.707585885	0.85502418	0.854718923	1.447011294	1.905677926
245008_at	0.721586714	0.929413706	0.669690194	1.856730089	2.956785897
245009_at	1.454663912	6.945915996	1.750555547	3.727143902	5.867734693
245010_at	0.636862131	0.648973468	0.569951765	1.169114707	1.736617176
245011_at	0.683622469	0.684596277	0.572397987	1.140249307	1.547975218
245012_at	1.306508858	5.320615395	2.054921263	1.754317599	2.060703643
245013_at	3.782950574	15.69677561	8.848227355	10.90834455	12.52641393
245014_at	4.395225659	8.640073007	5.409175594	8.197323614	10.11247192
245015_at	1.52979644	1.831470918	1.218344831	2.044607765	3.363903924
245016_at	1.408466963	1.556297366	0.770723397	4.860223806	5.504514556
245017_at	1.872730604	3.830023073	1.138909503	5.271220432	6.792649755
245018_at	1.25810888	1.212468781	0.99750924	3.15167725	3.814398871
245019_at	1.472781236	2.36548412	0.903535145	4.140954046	5.197359337
245020_at	2.022571316	11.30721725	4.360572869	4.984735859	3.56752515
245021_at	0.996630532	4.411542374	1.334641126	1.060338149	1.371557402
245022_at	0.720156402	1.782701823	0.86580698	0.979611816	1.311828106
245023_at	1.68530165	3.619611106	1.386749655	1.813089299	3.295073452
245024_at	2.383150297	3.399802283	1.389550751	4.102105311	8.044045076
245025_at	0.911341703	1.856520807	0.814000684	1.815923866	2.979765902
245026_at	1.646708072	2.743425085	2.460511561	3.89249177	5.550037666
245027_at	0.999565562	0.76793181	0.704292981	1.083723087	0.779112799
245028_at	1.045085616	1.584355057	1.057389929	2.28725118	1.022148429
245029_at	0.631894118	0.578087653	0.544773514	0.56520019	0.626655174
245030_at	0.324299655	0.324253337	0.331275731	0.399346923	0.436497235
245031_at	1.488860675	3.715309953	0.826043902	0.993521053	0.913157761
245032_at	0.370481249	0.384173869	0.396122487	0.496644576	0.456755111
245033_at	0.544844836	0.933143388	0.987972378	4.094162841	1.687683663
245034_at	0.579012684	2.071325757	0.66025228	5.178803746	2.67908573
245035_at	0.708034206	0.7206626	0.838395803	1.380563371	1.897465232
245036_at	0.410908346	0.429961623	0.408752373	0.516152555	0.507670932
245037_at	1.088038795	0.894312297	0.442100846	0.508745404	0.550809028
245038_at	0.456500669	0.43786969	0.973806354	0.577254397	0.605036315
245039_at	1.720560881	3.02149825	2.022306554	2.747934703	2.126108217
245040_at	0.615135446	0.693650372	0.645651857	0.81580665	0.739838474
245041_at	1.763533054	15.5349412	4.267598595	10.73464693	5.704695621
245042_at	0.750116304	1.231026353	1.61148633	2.278952412	1.031582023
245043_at	1.560060143	1.614655033	2.299544576	1.589581349	1.28187441
245044_at	0.497773028	0.81525286	0.521587598	0.604196753	0.603844071
245045_at	4.417416975	4.876173617	4.189125171	3.915608398	2.897283916
245046_at	3.687848354	9.646994838	11.18367302	2.994051012	2.11074494
245047_at	0.72556624	1.489557609	0.703174229	1.991274013	2.576508853
245048_at	4.142160997	4.329135352	1.464023484	5.891159108	9.561831369
245049_at	0.561981627	0.61855616	0.466317755	0.745280962	1.141180034
245050_at	1.410610703	1.464945694	0.996901226	1.789924996	3.928283393
245051_at	2.778134936	5.648919804	9.132374146	5.783070287	2.993285855
245052_at	0.432140971	0.546015391	0.511672349	0.733347376	0.633690252
245053_at	0.562188094	0.704801234	0.656883327	0.773510749	0.690635221
245054_at	0.99646476	1.01661319	1.484345999	1.066574899	0.888706534
245055_at	0.482779438	0.439923086	0.413943672	0.463788156	0.556052614
245056_at	0.569399906	0.943276608	0.67081669	0.692721869	0.680254307
245057_at	0.51750803	0.730015826	0.608187296	0.658630216	0.599347688
245058_at	0.468857157	0.524189583	0.436685288	0.539402961	0.551028799
245059_at	3.123297377	4.607877895	3.631352134	2.614720778	1.789335393
245060_at	16.1029589	9.242137673	28.04381498	6.609374939	6.217123102
245061_at	0.565514666	2.817579316	0.618948487	0.834127893	0.774074317
245062_at	2.111424125	1.694121734	1.800921036	1.748824638	1.580913956
245063_at	2.624970213	0.783340381	1.305340328	1.057675675	1.567670382
245064_at	1.137902654	1.44253956	1.812985344	1.347652604	0.839182774
245065_at	2.846987799	6.142040128	3.618575564	3.126464154	1.962886211
245066_at	1.75097441	2.019276868	3.153105808	1.735081062	1.447097599
245067_at	9.450868591	13.60612037	5.72204353	10.26554412	5.059689402
245068_at	0.477645275	0.504780995	0.479069263	0.584330274	0.532456148
245069_at	0.454265075	0.441098705	0.447153244	0.538935115	0.551791174
245070_at	0.458443727	0.431773614	0.504615409	0.529677717	0.632717785
245071_at	0.457394178	0.57522141	0.559646481	0.606389093	0.647472434
245072_s_at	0.393121763	0.466116977	0.474590356	0.540122893	0.569587584
245073_at	0.487020054	0.439634212	0.431257718	0.498203703	0.554412428
245074_at	0.582662	0.63120595	0.513417127	0.682328714	0.757933443
245075_at	0.407953663	0.649507765	0.426311973	0.596923459	0.56975986
245076_at	0.472033143	9.738640902	0.783461244	3.656413141	0.70113848
245077_at	0.656315957	0.746651051	0.67800879	0.824236383	0.858397149
245078_at	0.971768074	3.35586517	1.241352805	1.36862582	1.530199668
245079_at	0.739436454	1.05125074	0.836360257	0.643363483	0.797541014
245080_at	1.238902791	0.882902101	2.924076297	1.310960112	0.885317516
245081_at	0.659414791	0.76811393	0.663882742	0.943118249	0.888210662
245082_at	0.623294597	0.758282767	0.77222013	0.780474382	0.778601457
245083_at	5.774312873	3.548442617	1.604567911	2.236586977	2.393077629
245084_at	0.788710947	1.120249829	0.798619437	1.007779598	0.885848532
245085_at	20.01683904	10.03836095	4.320277003	6.770357265	9.370437314
245086_at	0.485125906	0.530745476	0.542706476	0.677255099	0.658477134
245087_at	0.52460398	0.665570351	0.575343538	0.661407077	1.092638178
245088_at	0.511762188	0.473514809	0.51267664	0.605783165	0.620732128
245089_at	1.760451216	2.851279132	1.721435863	3.543219806	2.448585527
245090_at	0.685880122	0.79762453	0.66359121	0.890285437	1.428453628
245091_at	0.51836087	0.527670597	0.540106932	0.641006488	0.696299867
245092_at	2.15858012	1.603415663	2.337123913	1.692672369	1.519874602
245093_at	1.010290144	0.818333092	0.733694342	0.916821624	0.965365486
245094_at	2.878919947	4.897595413	16.03332462	2.58926408	1.491684855
245095_at	0.553497456	0.58142304	0.478935676	0.639597617	0.634075542
245096_at	0.408484834	0.784300447	0.421265299	0.513349204	0.54879238
245097_at	1.16358775	1.445738309	2.390240363	1.399607689	1.16823966
245098_at	3.73449639	5.106228829	4.200586273	2.649118856	1.859672338
245099_at	2.092627967	1.876342701	2.860377921	2.100703357	1.485241267
245100_at	1.161211883	0.769598858	1.199476579	0.932053508	0.956226935
245101_at	1.019663402	10.37064767	1.35805065	12.02438492	10.5477939
245102_at	0.386065491	0.4690832	0.429970562	0.51686879	0.533542309
245103_at	0.489877436	0.480351738	0.503688068	0.580336436	0.5927251
245104_at	2.562035495	1.428491056	1.288034072	1.420343832	1.473648972
245105_at	0.593020746	0.626889013	0.721165857	0.930624949	0.831203588
245106_at	3.752763198	1.52488172	2.7396113	1.24307036	2.734379329
245107_at	0.384918414	0.463536689	0.413294168	0.510600207	0.556840309
245108_at	0.430401898	0.478669859	0.461713971	0.557654935	0.563706639
245109_at	0.936828406	0.622013292	1.040039009	0.793240299	0.878675211
245110_at	0.564810246	0.678490879	0.938797294	0.588113855	0.659356864
245111_at	0.434716449	0.39809419	0.389828415	0.547314904	0.526099005
245112_at	0.77830379	1.519821084	0.520032801	1.226474951	0.727635523
245113_at	8.368508578	22.43741586	3.932537556	9.660450606	3.468400649
245114_at	4.494300394	10.92183749	14.81232919	5.986788482	4.260481884
245115_at	4.391919519	4.779833382	4.875697395	2.752084069	2.369180946
245116_at	1.877854676	1.403314141	3.078495425	1.413209111	1.581135342
245117_at	1.83414223	3.762899149	1.219345526	1.257527517	1.184308604
245118_at	0.748490229	1.440735901	0.948264973	1.09383756	0.768638028
245119_at	2.695414419	6.421405949	4.442687863	2.403306055	1.647636411
245120_at	1.290741337	0.860376238	1.105712262	0.827919388	1.107378465
245121_at	32.14552294	11.98845222	11.99684096	14.98606907	21.39779943
245122_at	2.961347716	1.139186151	2.046669255	1.787390866	1.733964748
245123_at	0.58037967	1.167542222	0.801238565	0.607239534	0.660110565
245124_at	4.578216514	2.062392711	2.039335643	2.695151738	2.686930703
245125_at	0.485846745	0.523295253	0.497219928	0.609646667	0.633213548
245126_at	1.104756928	7.003974609	2.243658865	2.830445384	0.844609073
245127_at	3.603848288	7.878047364	4.190873894	4.033716992	1.607718872
245128_at	0.330912309	0.339289962	0.36175297	0.368255653	0.429709078
245129_at	0.438483286	0.517509162	0.516570316	0.7099195	0.727290387
245130_at	0.479252026	0.407083658	0.559141273	0.614385317	1.070777472
245131_s_at	2.060608754	3.215257467	1.452284365	1.901219815	1.368410099
245132_at	1.326469869	1.844495254	1.542264279	1.291800227	1.025345504
245133_at	1.607152872	2.13654441	1.094467658	1.440787783	1.081037548
245134_s_at	1.04490444	0.768793744	1.064558741	0.774810959	0.901568746
245135_at	0.460651186	0.443349705	0.5368112	0.584369555	0.68912518
245136_at	0.515542102	0.557745122	0.608902144	0.592918124	0.648549423
245137_at	0.691343586	0.623380529	1.011976693	0.690472767	0.759616232
245138_at	0.543683502	0.524509979	0.495670832	0.661985105	0.667918642
245139_at	6.309204702	4.014578903	2.70752083	2.606698458	3.371999343
245140_at	0.400156106	0.462693223	0.672168217	0.512015599	0.664111983
245141_at	6.82834198	7.930990165	21.76954413	4.88827009	2.865883776
245142_at	0.911957155	1.027267888	1.009551735	1.094245648	1.064073207
245143_at	1.076201985	0.647103285	0.692698177	0.634089078	0.923852736
245144_at	4.990018076	2.748647766	4.437990539	2.347879873	2.304307759
245145_at	4.237189609	0.90406319	2.171864792	1.846347341	1.806021008
245146_at	4.606170505	5.587615657	4.890940987	4.320209113	2.613638228
245147_at	1.08587971	0.723951795	0.720948092	0.820439886	0.880304428
245148_at	1.008036562	5.780792155	0.803681715	0.810171482	2.171502495
245149_at	0.892911141	0.851684892	1.011072619	0.794407231	0.855404475
245150_at	1.371655354	1.067609396	1.234272258	1.030333996	1.123869751
245151_at	1.81702194	0.799189985	1.118476276	0.712186805	1.038722024
245152_at	3.282881973	3.287277278	3.685564499	2.720083808	1.71553454
245153_at	0.322210977	0.318074502	0.309823567	0.352270247	0.38702437
245154_at	0.555305731	0.603047758	0.574775709	0.783615747	0.829966702
245155_at	9.328373963	10.02436996	5.101899436	5.269131935	4.782091455
245156_at	2.108052704	1.174133212	1.56695393	1.68386232	0.994433862
245157_at	0.385615514	0.42306741	0.417200539	0.45019663	0.474700151
245158_at	0.44939773	0.519589002	0.487872427	0.542839216	0.585612069
245159_at	0.655013069	1.047320937	0.67629081	0.663059289	0.685016865
245160_at	0.441586435	0.446090815	0.456496715	0.485147941	0.50750739
245161_at	1.203364567	0.972028885	1.142316309	0.893484155	0.725184968
245162_at	0.65880519	0.677727563	0.758613455	0.878300977	0.729950755
245163_at	0.474167315	0.514874186	2.522459361	0.606324508	0.559761367
245164_at	13.67060479	4.689017972	4.375891734	5.899530102	5.387384839
245165_at	1.052006005	0.766082231	0.435537645	0.582976585	0.651348919
245166_at	0.940915423	1.89849944	1.763801349	0.830412011	0.908839547
245167_s_at	3.439467267	3.480368962	3.335550379	3.944019632	2.644898138
245168_at	13.28224227	16.56269149	20.58282571	11.90265074	6.70787796
245169_at	6.051709083	6.343367757	4.850330376	4.102496208	3.051931914
245170_at	0.60485464	0.577204513	0.589703022	0.780053758	0.829252086
245171_at	0.60444453	0.649675907	0.658427888	0.816668526	0.817852515
245172_at	9.699131003	1.15860159	1.559583825	0.960514404	2.502061852
245173_at	0.87639883	0.636995134	1.652175466	1.49116585	1.457754043
245174_at	0.530678029	0.578039933	0.654551885	0.673790984	1.424051559
245175_at	23.34377023	18.10280031	26.68915807	16.00212787	13.59112071
245176_at	5.113731986	2.835083571	3.450843901	1.453172816	1.642924499
245177_at	0.432344077	0.474348234	0.489256063	0.551614266	0.595733974
245178_at	1.11878208	2.038167964	2.209549421	2.12388062	1.139367234
245179_at	1.279361628	0.825325427	1.102021235	1.022024497	0.909261376
245180_at	4.443532129	1.959497768	2.05782402	2.003897279	2.206941517
245181_at	0.373890186	0.455106218	0.393974841	0.564306863	0.506179902
245182_at	0.957968837	0.683968557	0.647537255	0.714751195	0.809109951
245183_at	0.899231646	0.960552114	1.082531948	0.938034839	0.946144182
245184_at	0.372456154	0.36728067	0.376781948	0.458646661	0.47167354
245185_at	1.451930833	0.87615441	0.717256783	1.163124051	1.40239405
245186_at	0.50749806	0.660757957	0.505416966	0.67464596	0.728088292
245187_s_at	3.489891598	1.997564064	2.057409924	1.933761333	1.817887787
245188_at	0.736814223	0.635286788	0.784940513	0.797624154	0.79909371
245189_at	0.437033496	0.396979431	0.401147552	0.476164758	0.512296718
245190_at	0.715708759	0.601330439	0.884884226	0.762261139	0.736310567
245191_at	0.612206334	0.740058928	0.681206348	0.847099401	0.734186322
245192_at	0.465949637	0.376539427	0.339723541	0.430698783	0.483390053
245193_at	1.016607329	1.458802749	0.672787323	1.403300439	1.479551229
245194_at	0.648884614	0.601076036	0.592950989	0.69723725	0.850874644
245195_at	0.526500323	1.33572036	0.499739702	0.861763497	0.601785605
245196_at	3.435121999	4.397496245	0.872512048	1.568171474	1.384202854
245197_at	0.816551452	1.003646825	0.769976705	1.186583419	0.885268733
245198_at	0.866803176	0.929468635	0.739587085	0.744873759	0.817952172
245199_at	13.89613163	11.28221282	7.492340909	8.898033117	6.902454884
245200_at	1.834116419	0.647495841	8.833861712	0.998278828	0.980041432
245201_at	0.903177451	1.096015357	1.402050102	0.873622063	0.85304722
245202_at	0.481531336	0.461372378	0.460284612	0.622966647	0.791958628
245203_at	0.350667957	0.318427813	0.36730977	0.445294268	0.506063025
245204_at	0.597600952	0.776092647	0.680425738	0.764537914	0.679558259
245205_at	0.626825485	0.638960059	0.667434535	0.897419136	0.736294698
245206_at	2.22101563	1.696726139	1.194592645	1.539538855	1.349506597
245207_at	2.887565228	2.618898288	3.139307881	2.379241143	1.85119075
245208_at	0.448829996	1.101007863	0.531195358	1.142092683	0.991676683
245209_at	0.504537804	3.346212469	0.57369754	2.76656483	1.375366432
245210_at	0.706054684	0.786778559	0.768773906	0.82316554	0.825939811
245211_at	2.450708918	3.1321239	3.545799906	2.71129089	1.930533874
245212_at	0.410429519	0.387197029	0.408672055	0.46954236	0.499693429
245213_at	0.69020291	4.650873643	0.791156659	0.991453477	0.806471381
245214_at	0.415084996	0.40227857	0.492216303	0.513987293	0.550886
245215_at	0.45406298	0.452714234	0.463989903	0.54527558	0.567208514
245216_at	3.784465684	1.287221036	1.2399243	1.740588574	2.221161884
245217_at	0.642975356	0.835855836	0.700766959	0.898346387	0.872931259
245218_s_at	0.489363301	0.555855743	0.555455507	0.597841968	0.650853379
245219_at	0.482847527	1.26692707	0.485400637	0.592181679	0.595909658
245220_at	0.336501571	0.325114179	0.344388189	0.376001053	0.439454108
245221_s_at	0.45209159	0.425460816	0.445264406	0.563670759	0.673827961
245222_at	0.369911806	0.417251959	0.370392823	0.496809916	0.531920852
245223_at	0.613012272	0.613859068	0.475530507	0.674698015	0.782625984
245224_at	0.56178573	0.596093834	0.611897875	0.689808569	0.757576133
245225_at	0.601097901	0.692901008	0.631381672	0.855303219	0.900172973
245226_at	0.518225926	0.54180175	0.544193423	0.681563866	0.764115379
245227_s_at	0.926252285	0.417414693	0.488144465	0.603512876	0.710046207
245228_at	0.725465614	0.612527779	5.641291176	1.002909061	0.69098469
245229_at	0.721663517	3.304191828	1.537519753	1.948356193	1.472016139
245230_at	0.984074612	0.677121775	0.664897698	0.67796533	0.724536273
245231_at	0.765427793	0.812253054	0.969021468	0.87648792	0.776078178
245232_at	0.406838538	0.384324581	0.39657499	0.457816417	0.508321687
245233_at	0.479742811	0.466865537	0.503445929	0.642475077	0.68023052
245234_at	0.568796436	1.189988415	0.533003054	0.779672607	0.7544807
245235_at	5.359188332	2.987357588	2.523124868	2.982652226	3.258658227
245236_at	0.924486077	0.829463221	0.987657871	1.064982323	0.956304003
245237_at	0.828828944	0.974815772	1.81917011	1.0041019	0.811022473
245238_at	15.73982349	14.22561148	7.922467141	10.38968527	5.399649611
245239_at	0.483253639	0.486450153	0.482627936	0.634455693	0.645402706
245240_at	0.519139184	0.7125987	0.59341774	0.677795514	0.682487791
245241_at	0.426553708	0.392255183	0.414301281	0.520191365	0.612624966
245242_at	0.595515313	0.771215573	0.928895889	0.860036205	0.77855854
245243_at	0.562962263	0.607099847	0.672309998	6.039240232	0.646216701
245244_at	2.087607718	4.975911512	10.74061758	12.43322832	2.730146209
245245_at	2.869328464	0.665771928	5.583099785	5.192328033	0.801044348
245246_at	0.531167671	0.591505921	0.598023299	0.678790399	0.749310899
245247_at	1.715379012	8.069109543	7.00318338	5.374134668	2.897124289
245248_at	1.361918166	1.191702948	1.114079506	0.914277832	0.88814174
245249_at	4.714755085	13.98851982	7.880578392	7.764463553	3.831914212
245250_at	4.253360855	6.395568934	22.02102848	3.324562539	3.711909583
245251_at	2.503645368	10.64390246	8.616367117	11.78514085	4.170341254
245252_at	2.399288693	7.445996856	15.90422904	5.070867505	3.403321621
245253_at	0.423374127	0.470653812	0.452349199	0.585764709	0.628101528
245254_at	1.255639936	2.893776483	5.40571323	4.568274293	2.445743951
245255_at	4.607017888	3.052758198	4.896556002	3.486210365	2.784679597
245256_at	0.698535658	0.900857903	0.655800615	0.678248241	0.68495081
245257_at	0.808458047	0.344328186	0.348719899	0.490227999	0.521351252
245258_at	0.388228005	0.57759805	0.512802052	0.794356263	0.832615582
245259_at	0.674240728	0.531268548	0.766512003	0.658440017	0.757917572
245260_at	4.114010129	3.717740525	1.898631307	2.274379265	1.68800957
245261_at	1.546393419	1.135714515	1.614576244	1.112261305	1.18308801
245262_at	0.50933766	2.071664975	0.610610124	0.712329307	1.213240824
245263_at	0.769164241	1.067973358	1.241532531	0.898965646	0.8876282
245264_at	0.381522961	0.399410122	0.389114063	0.512030414	0.538949516
245265_at	0.45551344	0.482319212	0.50105056	0.577854796	0.573099352
245266_at	2.402498633	4.743059863	0.891501691	1.436817381	1.071088616
245267_at	0.382401772	0.406076071	0.408313021	0.497866373	0.48329988
245268_at	1.152600293	0.819931212	0.928069235	1.129677458	1.2139281
245269_at	3.544773977	5.970392378	4.304830208	2.689088511	2.122938369
245270_at	24.12357648	21.91616722	11.91513497	12.86457717	13.11666559
245271_at	1.699895624	2.582859495	2.864823501	1.381765481	1.219079653
245272_at	0.493869892	0.56593408	0.467685405	0.710628473	0.623569379
245273_at	2.507818367	2.45392644	1.81575657	2.154369804	1.738457611
245274_at	3.336127429	6.84034595	2.42655927	3.213731545	2.041098196
245275_at	0.381715956	0.394613804	0.40160362	0.524290137	0.53282812
245276_at	1.230107916	0.947056441	2.944412511	1.093037702	1.708020066
245277_at	3.666835765	3.846750059	9.612944384	3.523463147	1.655117054
245278_at	1.377901301	2.204886205	0.811600161	1.594025393	1.210819706
245279_at	3.77089474	5.863104448	2.835481985	2.070753506	1.744525655
245280_at	2.395237145	2.363261032	2.990042737	1.051841816	1.230681275
245281_at	3.276749283	9.317303449	6.420593252	3.225965645	1.614989514
245282_at	2.014322259	2.801804747	2.727639219	2.135729245	1.992313924
245283_at	0.847942699	0.788983843	1.108284256	0.864345864	0.802090874
245284_at	0.884422827	1.127509892	1.138794441	1.568994046	0.910745809
245285_s_at	4.051894165	7.85624576	4.672298307	4.094351152	1.614771817
245286_at	12.53907132	23.11106863	14.0789716	16.33792538	10.44868881
245287_at	0.963935869	0.811427649	1.009289684	1.176818447	0.857766564
245288_at	1.318771344	1.932269862	2.824049672	1.433086839	1.113748006
245289_at	12.05642978	18.60241499	21.14672739	14.20385678	7.113510902
245290_at	0.836443364	0.829691448	0.990632575	1.144740675	1.569068676
245291_at	2.339446922	2.304085852	1.072342643	2.267912757	1.454426456
245292_at	2.610941997	3.311313687	1.668774007	5.955738156	2.317208795
245293_at	5.876473378	2.968782961	7.663974848	2.325422687	1.782431678
245294_at	1.590148773	1.638393341	2.71768649	1.342735779	1.204520662
