AFFY ID	AGI
263662_at	At1g04430
263657_at	At1g04440
263665_at	At1g04480
263658_at	At1g04490
263655_at	At1g04500
263666_at	At1g04510
263677_at	At1g04520
264609_at	At1g04530
264601_at	At1g04540
264605_at	At1g04550
264612_at	At1g04560
264615_at	At1g04590
264599_at	At1g04600
264598_at	At1g04610
264597_at	At1g04620
264596_at	At1g04625
264613_at	At1g04640
264610_at	At1g04645
264604_at	At1g04650
264606_at	At1g04660
264603_at	At1g04670
264611_at	At1g04680
264607_at	At1g04690
264602_at	At1g04700
264608_at	At1g04710
264600_at	At1g04730
264595_at	At1g04750
261178_at	At1g04760
261177_at	At1g04770
261176_at	At1g04780
261127_at	At1g04790
261175_at	At1g04800
261174_at	At1g04810
261129_at	At1g04820
261173_at	At1g04830
261172_at	At1g04840
261153_at	At1g04850
261128_at	At1g04860
261130_at	At1g04870
261171_at	At1g04880
261124_at	At1g04900
261170_at	At1g04910
261169_at	At1g04920
261152_at	At1g04930
261168_at	At1g04940
261126_at	At1g04950
261155_at	At1g04960
261154_at	At1g04970
261167_at	At1g04980
261179_at	At1g04985
261125_at	At1g04990
265214_at	At1g05000
265194_at	At1g05010
265213_at	At1g05020
265212_at	At1g05030
265215_at	At1g05040
265218_at	At1g05055
265192_at	At1g05060
265193_at	At1g05070
265216_at	At1g05100
265191_at	At1g05120
264584_at	At1g05140
264568_at	At1g05150
264586_at	At1g05160
264583_at	At1g05170
264585_at	At1g05180
264575_at	At1g05190
264587_at	At1g05200
264579_at	At1g05205
264581_at	At1g05210
264582_at	At1g05230
264577_at	At1g05260
264566_at	At1g05270
264565_at	At1g05280
264564_at	At1g05290
264574_at	At1g05300
264573_at	At1g05310
264572_at	At1g05320
264571_at	At1g05330
264580_at	At1g05340
264570_at	At1g05350
264576_at	At1g05360
264578_at	At1g05370
261383_at	At1g05380
261388_at	At1g05385
261380_at	At1g05400
261387_at	At1g05410
261386_at	At1g05430
261384_at	At1g05440
261385_at	At1g05450
261381_at	At1g05460
261382_at	At1g05470
263204_at	At1g05480
263203_at	At1g05490
263205_at	At1g05500
263175_at	At1g05510
263185_at	At1g05520
263176_at	At1g05530
263177_at	At1g05540
263178_at	At1g05550
263184_at	At1g05560
263183_at	At1g05570
263182_at	At1g05575
263233_at	At1g05577
263199_at	At1g05590
263200_at	At1g05600
263201_at	At1g05610
263180_at	At1g05620
263202_at	At1g05630
263230_at	At1g05670
263231_at	At1g05680
257451_at	At1g05690
263232_at	At1g05700
263179_at	At1g05710
263181_at	At1g05720
257452_at	At1g05740
261310_at	At1g05750
261256_at	At1g05760
261311_at	At1g05770
261312_at	At1g05790
261278_at	At1g05800
261254_at	At1g05805
261252_at	At1g05810
261253_at	At1g05840
261279_at	At1g05850
261280_at	At1g05860
261249_at	At1g05880
261250_at	At1g05890
261255_at	At1g05900
